;AUC_KNN1;AUC_KNN3;AUC_C4.5;AUC_NB;GEOM_KNN1;GEOM_KNN3;GEOM_C4.5;GEOM_NB
theor.overlap;-0,75124;-0,76059;-0,56295;-0,54388;-0,82561;-0,82946;-0,66251;-0,60347
overlapping.F1;-0,07283;-0,07847;-0,38592;-0,1721;0,08837;0,0889;-0,21468;0,13087
overlapping.F1v;-0,26007;-0,26476;-0,58467;-0,42885;-0,09972;-0,09849;-0,42167;-0,13973
overlapping.F2;0;0;0;0;0;0;0;0
overlapping.F3;0;0;0;0;0;0;0;0
overlapping.F4;0;0;0;0;0;0;0;0
neighborhood.N1;-0,83736;-0,84238;-0,70968;-0,65413;-0,89566;-0,89996;-0,8119;-0,6641
neighborhood.N2;-0,69566;-0,70056;-0,70321;-0,71609;-0,75106;-0,75419;-0,78147;-0,75404
neighborhood.N3;-0,84287;-0,84654;-0,68445;-0,61669;-0,89808;-0,90208;-0,78521;-0,61963
neighborhood.N4;0,21582;0,20935;0,25959;-0,20687;0,17968;0,17256;0,26482;-0,4553
neighborhood.T1;-0,81468;-0,81954;-0,7172;-0,67947;-0,88343;-0,88774;-0,82538;-0,7092
neighborhood.LSC;-0,53207;-0,53516;-0,5469;-0,72371;-0,59429;-0,59712;-0,62409;-0,83791
linearity.class.L1;-0,04423;-0,01909;0,1709;-0,07576;-0,11193;-0,09239;0,09197;-0,29781
linearity.class.L2;-0,22155;-0,20661;-0,18612;-0,31484;-0,22516;-0,20992;-0,19535;-0,3903
linearity.class.L3;-0,0738;-0,06939;0,04586;-0,06721;-0,0976;-0,08827;0,02199;-0,15196
dimensionality.T2;-0,07111;-0,07473;-0,37578;-0,13956;0,08158;0,08374;-0,21605;0,15819
dimensionality.T3;-0,07111;-0,07473;-0,37578;-0,13956;0,08158;0,08374;-0,21605;0,15819
dimensionality.T4;0;0;0;0;0;0;0;0
balance.C1;0;0;0;0;0;0;0;0
balance.C2;0;0;0;0;0;0;0;0
network.Density;-0,33029;-0,34009;-0,21117;-0,57951;-0,4211;-0,43301;-0,29712;-0,8119
network.ClsCoef;-0,15092;-0,1416;-0,42578;-0,06971;-0,07984;-0,06868;-0,3697;0,17558
network.Hubs;0,05007;0,05865;0,37094;0,1803;-0,1039;-0,1037;0,19939;-0,10108
ONB_euc_t;-0,97114;-0,96856;-0,70955;-0,64398;-0,99826;-0,9966;-0,80506;-0,63727
ONB_man_t;-0,97183;-0,96958;-0,71872;-0,65458;-0,99784;-0,99656;-0,81246;-0,6458
ONB_euc_a;-0,97098;-0,96852;-0,70891;-0,64389;-0,99813;-0,99657;-0,80435;-0,63639
ONB_man_a;-0,97159;-0,96945;-0,71784;-0,65449;-0,99765;-0,99646;-0,81155;-0,6447
