,dataset,theor.overlap,overlapping.F1,overlapping.F1v,overlapping.F2,overlapping.F3,overlapping.F4,neighborhood.N1,neighborhood.N2,neighborhood.N3,neighborhood.N4,neighborhood.T1,neighborhood.LSC,linearity.class.L1,linearity.class.L2,linearity.class.L3,dimensionality.T2,dimensionality.T3,dimensionality.T4,balance.C1,balance.C2,network.Density,network.ClsCoef,network.Hubs,ONB_euc_t,ONB_man_t,ONB_euc_a,ONB_man_a,AUC_KNN1,AUC_KNN3,AUC_C4.5,AUC_NB,GEOM_KNN1,GEOM_KNN3,GEOM_C4.5,GEOM_NB
1,circles2cl,0.000,0.250,0.042,0.000,0.000,0.000,0.001,0.075,0.000,0.000,0.009,0.754,0.000,0.000,0.000,0.002,0.001,0.333,1.000,0.000,0.830,0.388,0.698,0.001,0.008,0.001,0.008,0.998,0.998,1.000,0.998,0.997,0.997,0.999,0.997
2,circles2cl,0.050,0.250,0.047,0.000,0.000,0.000,0.007,0.082,0.003,0.000,0.014,0.788,0.000,0.001,0.000,0.002,0.001,0.333,1.000,0.000,0.832,0.388,0.702,0.061,0.061,0.061,0.061,0.949,0.945,0.943,0.937,0.949,0.944,0.941,0.937
3,circles2cl,0.100,0.250,0.050,0.000,0.000,0.000,0.009,0.086,0.004,0.001,0.016,0.808,0.000,0.001,0.000,0.002,0.001,0.333,1.000,0.000,0.834,0.389,0.705,0.093,0.096,0.093,0.096,0.915,0.914,0.903,0.900,0.914,0.914,0.897,0.899
4,circles2cl,0.150,0.250,0.053,0.000,0.000,0.000,0.007,0.091,0.003,0.002,0.020,0.825,0.000,0.002,0.001,0.002,0.001,0.333,1.000,0.000,0.835,0.389,0.709,0.113,0.119,0.113,0.119,0.897,0.897,0.877,0.868,0.897,0.896,0.868,0.868
5,circles2cl,0.200,0.250,0.055,0.000,0.000,0.000,0.011,0.095,0.006,0.001,0.022,0.839,0.000,0.002,0.000,0.002,0.001,0.333,1.000,0.000,0.836,0.389,0.715,0.135,0.139,0.135,0.139,0.885,0.883,0.849,0.837,0.884,0.883,0.836,0.837
6,circles2cl,0.250,0.250,0.058,0.000,0.000,0.000,0.011,0.099,0.006,0.001,0.026,0.852,0.001,0.003,0.000,0.002,0.001,0.333,1.000,0.000,0.837,0.388,0.718,0.166,0.170,0.166,0.170,0.851,0.866,0.810,0.805,0.851,0.866,0.809,0.804
7,circles2cl,0.300,0.250,0.060,0.000,0.000,0.000,0.015,0.102,0.006,0.002,0.025,0.864,0.001,0.003,0.000,0.002,0.001,0.333,1.000,0.000,0.838,0.388,0.718,0.192,0.193,0.192,0.193,0.832,0.835,0.782,0.778,0.831,0.835,0.772,0.777
8,circles2cl,0.500,0.250,0.068,0.000,0.000,0.000,0.018,0.119,0.008,0.003,0.037,0.903,0.001,0.006,0.001,0.002,0.001,0.333,1.000,0.000,0.843,0.385,0.719,0.269,0.267,0.269,0.267,0.765,0.778,0.694,0.699,0.764,0.777,0.671,0.698
9,circles2cl,1.000,0.250,0.077,0.000,0.000,0.000,0.040,0.157,0.019,0.004,0.069,0.949,0.000,0.002,0.000,0.002,0.001,0.333,1.000,0.000,0.856,0.376,0.728,0.589,0.583,0.589,0.583,0.504,0.515,0.490,0.528,0.503,0.514,0.481,0.526
10,rectangles2cl,0.000,0.250,0.077,0.000,0.000,0.000,0.013,0.123,0.005,0.010,0.033,0.940,0.000,0.003,0.000,0.002,0.001,0.333,1.000,0.000,0.854,0.406,0.722,0.072,0.095,0.072,0.095,0.950,0.940,0.489,0.490,0.949,0.940,0.479,0.490
