;AUC_KNN1;AUC_KNN3;AUC_C4.5;AUC_NB;GEOM_KNN1;GEOM_KNN3;GEOM_C4.5;GEOM_NB
overlapping.F1;-0,83834;-0,84959;-0,73205;-0,75786;-0,38811;-0,34747;-0,32338;-0,32413
overlapping.F1v;-0,73295;-0,711;-0,70406;-0,73454;-0,13611;-0,03824;-0,09758;-0,11314
overlapping.F2;-0,57187;-0,50293;-0,3052;-0,34655;-0,42308;-0,30977;-0,19645;-0,29742
overlapping.F3;-0,71648;-0,64232;-0,52168;-0,57608;-0,27304;-0,17905;-0,14097;-0,15751
overlapping.F4;-0,67862;-0,53138;-0,51481;-0,54071;-0,26645;-0,13869;-0,14575;-0,16529
neighborhood.N1;-0,70171;-0,71645;-0,6413;-0,64488;-0,55854;-0,60361;-0,60392;-0,56939
neighborhood.N2;-0,74915;-0,72497;-0,75402;-0,74456;-0,5681;-0,55314;-0,60271;-0,53266
neighborhood.N3;-0,76607;-0,7423;-0,77106;-0,7602;-0,6344;-0,65588;-0,69968;-0,64376
neighborhood.N4;-0,59792;-0,61196;-0,53325;-0,54412;-0,43724;-0,49806;-0,5133;-0,45078
neighborhood.T1;-0,67064;-0,66724;-0,67844;-0,73259;-0,47163;-0,50553;-0,55043;-0,52809
neighborhood.LSC;-0,60629;-0,52883;-0,50428;-0,62389;-0,55525;-0,50684;-0,50994;-0,6082
linearity.class.L1;-0,78608;-0,70916;-0,68036;-0,68115;-0,25134;-0,14032;-0,182;-0,17457
linearity.class.L2;-0,75949;-0,71442;-0,6505;-0,67865;-0,20418;-0,11337;-0,14626;-0,14762
linearity.class.L3;-0,73673;-0,68487;-0,64508;-0,6829;-0,18168;-0,09063;-0,13491;-0,13439
dimensionality.T2;0,11453;-0,09826;-0,04646;0,04233;0,23666;0,14988;0,16807;0,21219
dimensionality.T3;0,1219;0,00292;0,16565;0,23585;0,18425;0,15645;0,22866;0,25791
dimensionality.T4;-0,18692;-0,16221;0,0092;0,05665;-0,23709;-0,27274;-0,17962;-0,15877
balance.C1;0,21119;0,35748;0,41584;0,1457;0,46643;0,62056;0,63714;0,43377
balance.C2;-0,19385;-0,37259;-0,40354;-0,14033;-0,11642;-0,21531;-0,24358;-0,07198
network.Density;-0,42192;-0,37047;-0,32444;-0,48631;-0,5252;-0,54348;-0,52657;-0,65279
network.ClsCoef;-0,59158;-0,63777;-0,46764;-0,35471;-0,23934;-0,26001;-0,20313;-0,07183
network.Hubs;0,15735;0,22427;0,28283;0,18645;0,12927;0,07092;0,08431;0,03792
ONB_euc_t;-0,52936;-0,48153;-0,59447;-0,5608;-0,44078;-0,47045;-0,55249;-0,45385
ONB_man_t;-0,53344;-0,49531;-0,63357;-0,57391;-0,44612;-0,4855;-0,58373;-0,46777
ONB_euc_a;-0,59628;-0,5867;-0,68901;-0,60518;-0,68982;-0,71307;-0,76558;-0,65961
ONB_man_a;-0,59698;-0,58738;-0,72452;-0,61445;-0,69545;-0,71989;-0,79109;-0,6749
